All ingredients in cryoprotective solution,DMSO usage,Cooling rate,Viability,Recovery,Doubling time,Comments about method,Comments about results,Source (DOI link),Protective protein type,Protective protein concentration,Non-reducing sugar type,Non-reducing sugar concentration,PEG weight,PEG concentration,Alternative CPA type,Alternative CPA concentration,Basal medium,DMSO_pct,Ethylene_Glycol_pct,Ethylene_Glycol_mM,Propylene_Glycol_pct,Glycerol_pct,Trehalose_mM,Sucrose_mM,Glucose_mM,Mannitol_mM,Raffinose_mM,FBS_pct,FCS_pct,Human_Serum_pct,HSA_pct,BSA_pct,Albumin_pct,PVP_pct,PEG_pct,HES_pct,Dextran_pct,Ficoll_pct,Taurine_mM,Ectoine_pct,Proline_pct,Isoleucine_mM,Creatine_mM,Methylcellulose_pct,ROCKi_uM,S1P_uM,Polyampholyte_mgml,COOH_PLL_pct,Sericin_pct,Betaine_pct,cooling_min_rate_C_per_min,cooling_max_rate_C_per_min,cooling_avg_rate_C_per_min,cooling_method,cooling_controlled,Viability_numeric,Recovery_numeric
"1M propylene glycol in in Mesencult complete medium
",0%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",around 68% according to the figure,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.68,
"1.5M propylene glycol in in Mesencult complete medium
",0%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",around 67% according to the figure,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.67,
0.5M DMSO in Mesencult complete medium,10%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",around 74% according to the figure,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.74,
1M DMSO in Mesencult complete medium,10%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",90.6% ± 8.9%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.9059999999999999,
1.5M DMSO in Mesencult complete medium,10%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",91.0% ± 8.1%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.91,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,,
PM-1( preadipocyte medium) + 10% DMSO,10%,1°C/min  to −80°C,95%,Not mentioned ,Not mentioned ,"trypan blue for viablity test,Von Kossa’s method for checking differentiation ",High viability and relatively low  proliferation and lose osteogenic differentiation ability,https://doi.org/10.3727/096368911X605556,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.95,
"DMEM/Ham’s F-12( (1:1,; Dulbecco’s modified Eagle medium: Nutrient Mixture F-12) medium (serum free) + 10% DMSO, 0.1 mol/L maltose, and
1% sericin",10%,1°C/min  to −80°C,95%,Not mentioned ,Not mentioned ,,High viability and relatively higher  proliferation and lose  osteogenic differentiation ability,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,slow_freeze,0,0.95,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,,
DMEM + 80% HS + 10% DMSO,10%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",82.5 (±8.3) %,Not mentioned ,Not mentioned ,"The viability tested was conducted by quantitative flow cytometry annexin V-FITC-negative and PI-negative; annexin V− and PI− , Oil Red O staining and Alizarin Red staining for checking adipogenic differentiation and osteogenic differentiation respectively.","The absence of DMSO (with MC) significantly increased apoptosis and necrosis of ASC.ASCs can be frozen in serum-free DMEM containing at minimum 2% DMSO to maintain their viability and adipogenic and osteogenic differentiation capacity after thawing, providing a feasible solution for their clinical application.",https://doi.org/10.1089/scd.2009.0173,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1.1,0.55,controlled_rate,1,,
DMEM + 80% FCS + 10% DMSO,10%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",84.1 (±7.7)%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.1,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.1,1.1,0.55,controlled_rate,1,,
DMEM ,0%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",25.3% ± 5.7%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1.1,0.55,controlled_rate,1,0.253,
DMEM + 2% DMSO,2%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C", 83.8% ± 5.3%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1.1,0.55,controlled_rate,1,0.838,
DMEM + 4% DMSO,4%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",80.6% ±3.1%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1.1,0.55,controlled_rate,1,0.8059999999999999,
DMEM + 6% DMSO,6%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",86.0% ± 4.6%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1.1,0.55,controlled_rate,1,0.86,
DMEM + 8% DMSO,8%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",85.6% ± 2.8%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1.1,0.55,controlled_rate,1,0.856,
DMEM + 10% DMSO,10%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",87.9% ± 2.9%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1.1,0.55,controlled_rate,1,0.879,
DMEM + 1% MC,0%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",46.8% ± 7.6%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1.1,0.55,controlled_rate,1,0.46799999999999997,
DMEM + 1% MC + 10% HS,0%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",40.0% ± 8%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1.1,0.55,controlled_rate,1,0.4,
DMEM + 1% MC + 10% FCS,0%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",40.0% ± 8%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0.1,1.1,0.55,controlled_rate,1,0.4,
DMEM + 1% MC + 10% DMSO,10%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",79.8% ± 2.8%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1.1,0.55,controlled_rate,1,0.7979999999999999,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,,
10% DMSO  in α-MEM,10%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,82.7 ± 3.7%,Not mentioned ,Not mentioned ,"The viability was tested by FACSCalibur flow cytometer using the Annexin V-fluorescein isothiocyanate (FITC) apoptosis. AlamarBlue assay and calcein AM assay were used to check Cell metabolic activity and proliferation and Cell morphology respectively. Alkaline phosphatase (ALP) expression, Oil Red O and toluidine blue staining for confirm the differentiation ability of Osteogenic differentiation, and adipogenic differentiation chondrogenic differentiation.","With DMSO as the sole permeating CPA, the paper found that the minimum DMSO concentration is around 5% (v/v) to achieve [ 73% cell survival. DMSO can be replaced with another permeating CPA, such as 1,2-propanediol although the cell survival is slightly lower. FBS can be replaced with albumin and 2% (w/v) albumin in CPA solution can significantly enhance the cell survival.",https://doi.org/10.1002/btpr.464,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.037000000000000005,
10% DMSO + 10% FBS in α-MEM,10%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,83.8 ± 2.9%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.028999999999999998,
10% DMSO + 90% FBS in α-MEM,10%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,90.2 ± 1.4%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.1,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.013999999999999999,
7.5% DMSO + 2.5% PEG in α-MEM,7.50%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,72%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.075,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.72,
7.5% DMSO + 2.5% PEG + 2% BSA in α-MEM,7.50%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,82.9 ± 4.3%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.075,,,,,,,,,,,,,,0.02,,,0.025,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.043,
5% DMSO + 5% PEG in α-MEM,5%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,70%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.7,
5% DMSO + 5% PEG + 2% BSA  in α-MEM,5%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,80%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,0.02,,,0.05,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.8,
5% DMSO + 2% PEG + 3% trehalose  in α-MEM,5%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,56%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.56,
5% DMSO + 2% PEG + 3% trehalose + 2% BSA in α-MEM,5%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,65%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.65,
2.5% DMSO + 7.5% PEG  in α-MEM,2.50%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,32%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,0.075,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.32,
2.5% DMSO + 7.5% PEG + 2% BSA  in α-MEM,2.50%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,38%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,0.02,,,0.075,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.38,
"10% 1,2-propanediol + 2% BSA  in α-MEM",0%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,68%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.68,
"7.5% 1,2-propanediol + 2.5% PEG + 2% BSA in α-MEM",0%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,73%,Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.02,,,0.025,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.73,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,,
"Sucrose 150 mM, Mannitol 125 mM, Creatine 12.5 mM (SMC)",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,48%,Not mentioned ,Acridine Orange/Propidium Iodide (AO/PI) and flow cytometry were used to calculate the viability (recovery rate) and Cell surface phenotype respectively.,"The result showed the recovery rate of SMC (sucrose= 150 mM, mannitol= 125 mM, creatine= 12.5 mM) reached the highest level at 2 hours and SGC (sucrose= 150 mM, glycerol= 2.5%, creatine= 12.5 mM) at 1 hour of incubation, and then decreased after 4 hours. Moreover, substituting glucose for sucrose significantly reduced the recovery rate.",https://doi.org/10.1089/TEN.TEC.2016.0284,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.48
"Glucose 150 mM, Mannitol 125 mM, Creatine 12.5 mM (GMC)",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,32%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.32
"Sucrose 150 mM, Glycerol 2.5%, Creatine 12.5 mM (SGC)",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,62%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.62
"Glucose 150 mM, Glycerol 2.5%, Creatine 12.5 mM (GGC)",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,52%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.52
"Sucrose 150 mM, Glycerol 342mM, Creatine 12.5 mM (SGC)",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",60%,Not mentioned,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,0.6,
"Glucose 150 mM, Glycerol 342mM, Creatine 12.5 mM (GGC)",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",40%,Not mentioned,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,0.4,
"Sucrose 150 mM, Glycerol 684 mM, Creatine 25 mM (SGC-A)",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",70%,82 ± 7%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,0.7,0.07
"Sucrose 300 mM, Glycerol 684 mM, Creatine 12.5 mM (SGC-B)",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",0%,71 ± 5%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,0.0,0.05
"Sucrose 75 mM, Mannitol 63 mM, Creatine 13 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,47%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.47
"Sucrose 225 mM, Mannitol 188 mM, Creatine 3 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,43%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.43
"Sucrose 225 mM, Mannitol 125 mM, Creatine 0 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,29%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.29
"Sucrose 0 mM, Mannitol 63 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,54%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.54
"Sucrose 75 mM, Mannitol 125 mM, Creatine 3 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,48%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.48
"Sucrose 30 mM, Mannitol 25 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,31%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.31
"Sucrose 225 mM, Mannitol 188 mM, Creatine 3 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,46%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.46
"Sucrose 150 mM, Mannitol 63 mM, Creatine 6 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,41%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.41
"Sucrose 0 mM, Mannitol 25 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,52%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.52
"Sucrose 75 mM, Mannitol 63 mM, Creatine 19 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,38%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.38
"Sucrose 30 mM, Mannitol 0 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,29%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.29
"Sucrose 50 mM, Mannitol 63 mM, Creatine 13 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,37%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.37
"Sucrose 150 mM, Mannitol 63 mM, Creatine 0 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,22%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.22
"Sucrose 30 mM, Mannitol 25 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,33%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.33
"Sucrose 300 mM, Mannitol 250 mM, Creatine 3 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,9%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.09
"Sucrose 150 mM, Mannitol 188 mM, Creatine 3 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,49%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.49
"Sucrose 30 mM, Mannitol 25 mM, Creatine 19 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,20%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.2
"Sucrose 150 mM, Mannitol 25 mM, Creatine 6 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,33%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.33
"Sucrose 0 mM, Mannitol 125 mM, Creatine 13 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,32%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.32
"Sucrose 150 mM, Mannitol 63 mM, Creatine 6 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,34%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.34
"Sucrose 30 mM, Mannitol 63 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,47%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.47
"Sucrose 30 mM, Mannitol 125 mM, Creatine 19 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,31%,Not mentioned ,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,15.8,controlled_rate,1,,0.31
